accession,accession_clean,entity_name,cik,form,filing_date,source_file,text_file,word_count,doc_url
0001193125-25-087301,119312525087301,CARMAX AUTO FUNDING LLC,1259380,424H,2025-04-21,CARMAX_AUTO_FUNDING_LLC_2025-04-21_424H.htm,CARMAX_AUTO_FUNDING_LLC_2025-04-21_424H.txt,117281,https://www.sec.gov/Archives/edgar/data/1259380/000119312525087301/d935746d424h.htm
0001193125-25-157573,119312525157573,CARMAX AUTO FUNDING LLC,1259380,424H,2025-07-10,CARMAX_AUTO_FUNDING_LLC_2025-07-10_424H.htm,CARMAX_AUTO_FUNDING_LLC_2025-07-10_424H.txt,118287,https://www.sec.gov/Archives/edgar/data/1259380/000119312525157573/d59752d424h.htm
0001193125-25-199252,119312525199252,CARMAX AUTO FUNDING LLC,1259380,424H,2025-09-09,CARMAX_AUTO_FUNDING_LLC_2025-09-09_424H.htm,CARMAX_AUTO_FUNDING_LLC_2025-09-09_424H.txt,173376,https://www.sec.gov/Archives/edgar/data/1259380/000119312525199252/d13359d424h.htm
0001193125-25-234588,119312525234588,CARMAX AUTO FUNDING LLC,1259380,424H,2025-10-08,CARMAX_AUTO_FUNDING_LLC_2025-10-08_424H.htm,CARMAX_AUTO_FUNDING_LLC_2025-10-08_424H.txt,123892,https://www.sec.gov/Archives/edgar/data/1259380/000119312525234588/d36849d424h.htm
0001193125-26-013037,119312526013037,CARMAX AUTO FUNDING LLC,1259380,424H,2026-01-14,CARMAX_AUTO_FUNDING_LLC_2026-01-14_424H.htm,CARMAX_AUTO_FUNDING_LLC_2026-01-14_424H.txt,124945,https://www.sec.gov/Archives/edgar/data/1259380/000119312526013037/d34749d424h.htm
0001193125-26-046816,119312526046816,CARMAX AUTO FUNDING LLC,1259380,424H,2026-02-11,CARMAX_AUTO_FUNDING_LLC_2026-02-11_424H.htm,CARMAX_AUTO_FUNDING_LLC_2026-02-11_424H.txt,178447,https://www.sec.gov/Archives/edgar/data/1259380/000119312526046816/d17727d424h.htm
0001193125-26-156818,119312526156818,CARMAX AUTO FUNDING LLC,1259380,424H,2026-04-15,CARMAX_AUTO_FUNDING_LLC_2026-04-15_424H.htm,CARMAX_AUTO_FUNDING_LLC_2026-04-15_424H.txt,132562,https://www.sec.gov/Archives/edgar/data/1259380/000119312526156818/d36020d424h.htm
0001193125-26-257311,119312526257311,CARMAX AUTO FUNDING LLC,1259380,424H,2026-06-04,CARMAX_AUTO_FUNDING_LLC_2026-06-04_424H.htm,CARMAX_AUTO_FUNDING_LLC_2026-06-04_424H.txt,160481,https://www.sec.gov/Archives/edgar/data/1259380/000119312526257311/d125463d424h.htm
0001193125-26-298297,119312526298297,CARMAX AUTO FUNDING LLC,1259380,424H,2026-07-08,CARMAX_AUTO_FUNDING_LLC_2026-07-08_424H.htm,CARMAX_AUTO_FUNDING_LLC_2026-07-08_424H.txt,132187,https://www.sec.gov/Archives/edgar/data/1259380/000119312526298297/d134574d424h.htm
0001104659-24-032931,110465924032931,FORD CREDIT AUTO RECEIVABLES TWO LLC,1129987,424H,2024-03-11,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-03-11_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-03-11_424H.txt,103152,https://www.sec.gov/Archives/edgar/data/1129987/000110465924032931/tm248203d1_424h.htm
0001104659-24-071318,110465924071318,FORD CREDIT AUTO RECEIVABLES TWO LLC,1129987,424H,2024-06-13,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-06-13_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-06-13_424H.txt,104315,https://www.sec.gov/Archives/edgar/data/1129987/000110465924071318/tm2416802d1_424h.htm
0001104659-24-099238,110465924099238,FORD CREDIT AUTO RECEIVABLES TWO LLC,1129987,424H,2024-09-12,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-09-12_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-09-12_424H.txt,107161,https://www.sec.gov/Archives/edgar/data/1129987/000110465924099238/tm2423586d1_424h.htm
0001104659-24-118694,110465924118694,FORD CREDIT AUTO RECEIVABLES TWO LLC,1129987,424H,2024-11-14,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-11-14_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2024-11-14_424H.txt,107718,https://www.sec.gov/Archives/edgar/data/1129987/000110465924118694/tm2428010d1_424h.htm
0001104659-25-023376,110465925023376,FORD CREDIT AUTO RECEIVABLES TWO LLC,1129987,424H,2025-03-13,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-03-13_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-03-13_424H.txt,105279,https://www.sec.gov/Archives/edgar/data/1129987/000110465925023376/tm258634d1_424h.htm
0001104659-25-091315,110465925091315,FORD CREDIT AUTO RECEIVABLES TWO LLC,1129987,424H,2025-09-18,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-09-18_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-09-18_424H.txt,107935,https://www.sec.gov/Archives/edgar/data/1129987/000110465925091315/tm2526028d3_424h.htm
0001104659-25-111290,110465925111290,FORD CREDIT AUTO RECEIVABLES TWO LLC,1129987,424H,2025-11-13,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-11-13_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2025-11-13_424H.txt,98276,https://www.sec.gov/Archives/edgar/data/1129987/000110465925111290/tm2530629d1_424h.htm
0001104659-26-027021,110465926027021,FORD CREDIT AUTO RECEIVABLES TWO LLC,1129987,424H,2026-03-12,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-03-12_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-03-12_424H.txt,106525,https://www.sec.gov/Archives/edgar/data/1129987/000110465926027021/tm268276d1_424h.htm
0001104659-26-072992,110465926072992,FORD CREDIT AUTO RECEIVABLES TWO LLC,1129987,424H,2026-06-11,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-06-11_424H.htm,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-06-11_424H.txt,107296,https://www.sec.gov/Archives/edgar/data/1129987/000110465926072992/tm2617048d1_424h.htm
0001104659-24-058485,110465924058485,HARLEY-DAVIDSON CUSTOMER FUNDING CORP.,1114926,424H,2024-05-08,HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2024-05-08_424H.htm,HARLEY-DAVIDSON_CUSTOMER_FUNDING_CORP__2024-05-08_424H.txt,128312,https://www.sec.gov/Archives/edgar/data/1114926/000110465924058485/tm2413280-1_424h.htm
